,Unnamed: 0,id,screen_name,description,created_at,location,is_verified,latest_following_count,latest_followers_count,latest_status_count,array_agg,num_tweets
491,491,1410590874,PeterWelch,"Official Twitter Account for Congressman Peter Welch, proudly representing the great state of Vermont in the U.S. House of Representatives.",2013-05-07 16:10:47,"Vermont and Washington, DC",t,1826,8048,1347,"{congressperson,democrat,democrat}",1355.0
492,492,211420609,RepSteveStivers,Proud to represent the citizens of Ohio's 15th Congressional District.,2010-11-03 05:57:36,,t,946,20641,2730,"{congressperson,republican,republican}",2730.0
493,493,23976316,RepKenMarchant,Serving the 24th Congressional District of Texas | Member of @WaysandMeansGOP and House Ethics Committee,2009-03-12 16:19:18,"Washington, D.C.",t,2167,19252,4884,"{congressperson,republican,republican}",3273.0
494,494,1074129612,RepVeasey,"Proudly representing Fort Worth-Dallas. Born and reared in the Metroplex. Husband, father and Dallas Cowboys fan. #TX33, #DFW",2013-01-09 15:49:27,"Dallas-Fort Worth, Texas",t,2830,9915,2323,"{congressperson,democrat,democrat}",2332.0
495,495,29450962,repjohnlewis,"Congressman, Georgia's Fifth Congressional District",2009-04-07 13:49:52,"Atlanta, GA",t,165,471485,1710,"{congressperson,democrat,democrat}",1714.0
496,496,58928690,RepAdamSmith,Proudly serving Washington State's 9th District. Ranking Member of the House Armed Services Committee @HASCDemocrats,2009-07-21 21:31:55,Washington's 9th District,t,1433,22148,2065,"{congressperson,democrat,democrat}",2071.0
497,497,245451804,RepJimCosta,Costa represents California's 16th District. He serves on the Agriculture & Natural Resources Committees. This account is for official use only.,2011-01-31 18:42:23,,t,504,10713,1306,"{congressperson,democrat,democrat}",1310.0
498,498,3044993235,RepTedLieu,"Official Twitter account for the Office of Congressman Ted W. Lieu, serving #CA33 in the US House of Representatives・Follow on Facebook & Instagram @RepTedLieu",2015-02-19 20:08:54,Washington D.C. & Los Angeles,t,4645,19928,2427,"{congressperson,democrat,democrat}",2452.0
499,499,2432952828,GrothmanforWI,Glenn Grothman represents WI's 6th Congressional District in the House of Representatives.,2014-04-08 03:13:20,"Fond du Lac, WI",f,240,1028,705,"{congressperson,republican,republican}",705.0
500,500,442824717,RepRichardNeal,"Serving the First Congressional District of Massachusetts in the United States House of Representatives, with 87 cities and towns in western & central MA",2011-12-21 14:18:30,,t,30,10359,862,"{congressperson,democrat,democrat}",871.0
